sex,n_cells,irx3_positive,arid5b_positive,double_positive,irx3_pct,arid5b_pct,double_positive_pct,arid5b_given_irx3_pct,fisher_odds_ratio,fisher_p_value
female,20012,821,3234,230,4.1025384769138515,16.160303817709373,1.149310413751749,28.014616321559075,2.0970403815780876,1.8198284427946183e-18
male,24137,970,3898,279,4.018726436591126,16.14948005137341,1.155901727638066,28.762886597938145,2.1809208434820406,7.154808280664226e-24
