sample,sex,n_cells,irx3_positive,arid5b_positive,double_positive,irx3_pct,arid5b_pct,double_positive_pct,arid5b_given_irx3_pct,irx3_given_arid5b_pct,fisher_odds_ratio,fisher_p_value
AJ18003,male,11552,431,1520,109,3.7309556786703597,13.157894736842104,0.9435595567867037,25.290023201856147,7.171052631578948,2.3295006845063853,4.040054495281584e-12
AJ18004,female,9389,260,1047,37,2.7691979976568324,11.151347321333475,0.39407817658962613,14.23076923076923,3.5339063992359123,1.3337610442658616,0.11019066063670857
AJ19001,female,10623,561,2187,193,5.2809940694719,20.58740468794126,1.8168125764849854,34.40285204991088,8.824874256973022,2.122023679734857,5.281872303460055e-15
AJ19002,male,12585,539,2378,170,4.282876440206595,18.895510528406835,1.3508144616607072,31.539888682745826,7.1488645920941964,2.052722791720671,7.576961145980635e-13
